1,3,Salomon,kask,43.84,49
2,2,Nordica,kask,33.84,53
3,2,Völkl,kask,29.85,62
4,1,Atomic,narty,173.56,105
5,1,K2 Skis,kijki,14.43,95
6,2,Rossignol,buty,67.15,282
7,3,Elan,deska,140.6,148
8,2,Völkl,kask,52.72,56
9,3,Atomic,kijki,13.22,100
10,3,Salomon,kijki,10.86,147
11,1,Fischer,deska,131.24,149
12,3,Blizzard,kijki,6.63,115
13,3,Atomic,deska,182.68,130
14,2,Head,kijki,11.96,151
15,2,Völkl,kask,62.32,49
16,1,Nordica,kask,28.55,55
17,2,Völkl,kijki,11.65,100
18,2,Atomic,narty,134.72,136
19,2,Fischer,kijki,9.87,96
20,2,K2 Skis,deska,161.46,136
21,1,Blizzard,buty,77.76,234
22,3,Blizzard,deska,109.47,149
23,1,Rossignol,narty,151.82,146
24,3,Fischer,buty,97.44,202
25,1,Atomic,kijki,5.77,127
26,1,Rossignol,deska,70.09,132
27,2,Head,kask,47.98,60
28,3,Elan,deska,55.71,122
29,2,K2 Skis,kijki,8.38,125
30,3,Fischer,kask,50.99,60
31,1,Atomic,deska,147.03,96
32,2,Head,kijki,11.04,141
33,3,Salomon,kijki,6.43,103
34,2,Atomic,kask,49.59,53
35,1,K2 Skis,buty,68.27,314
36,3,Salomon,kijki,9.47,144
37,2,Atomic,deska,86.73,176
38,3,Nordica,kijki,11.99,132
39,3,Salomon,kask,34.88,54
40,3,Blizzard,deska,131.52,173
41,3,K2 Skis,kijki,13.23,101
42,3,Blizzard,deska,126.53,101
43,3,Völkl,deska,143.42,105
44,2,Fischer,deska,135.41,113
45,3,Salomon,buty,95.2,313
46,3,Völkl,kask,26.14,53
47,1,Rossignol,buty,62.77,297
48,1,Völkl,narty,118.39,113
49,2,K2 Skis,narty,181.63,142
50,3,Salomon,buty,67.44,210
51,3,K2 Skis,kask,45.28,60
52,3,Fischer,kijki,6.92,159
53,1,K2 Skis,kijki,5.71,137
54,3,Salomon,kask,48.78,52
55,2,Rossignol,narty,195.58,139
56,2,Salomon,narty,73.52,89
57,2,K2 Skis,kijki,9.68,135
58,3,Fischer,kask,43.77,49
59,2,Head,deska,197.93,145
60,2,Atomic,kijki,12.43,121
61,2,Rossignol,kask,45.51,63
62,2,Head,deska,184.58,91
63,1,Atomic,kask,32.03,61
64,2,Blizzard,kask,63.46,54
65,3,Völkl,buty,60.18,325
66,2,Salomon,buty,62.89,255
67,3,Salomon,buty,92.1,212
68,2,K2 Skis,narty,139.9,176
69,3,Elan,kijki,9.81,141
70,2,Blizzard,kask,58.65,63
71,2,Head,narty,198.56,120
72,1,Rossignol,narty,191.51,130
73,3,Rossignol,kask,44.66,62
74,3,Fischer,narty,169.12,125
75,2,Fischer,kask,37.72,63
76,2,Atomic,kask,34.58,60
77,1,Völkl,kask,44.17,56
78,3,K2 Skis,deska,142.87,143
79,2,Rossignol,deska,191.82,119
80,1,Atomic,narty,66.67,85
81,1,Fischer,narty,89.84,173
82,3,Völkl,kask,25.28,51
83,3,Fischer,narty,84.27,191
84,1,Rossignol,buty,51.98,307
85,1,Elan,narty,65.43,129
86,2,Salomon,deska,51.32,186
87,2,Salomon,deska,188.89,137
88,3,Salomon,deska,117.16,120
89,1,Head,deska,103.94,105
90,1,Rossignol,kijki,5.3,114
91,1,Salomon,buty,92.8,307
92,1,Fischer,kask,52.14,59
93,1,Nordica,deska,183.51,161
94,3,Völkl,buty,61.61,268
95,2,K2 Skis,buty,69.34,227
96,1,Salomon,buty,97.33,231
97,1,Rossignol,narty,162.52,119
98,1,Fischer,kask,52.46,58
99,2,Head,narty,117.93,155
100,2,Nordica,deska,198.28,183
101,2,Elan,narty,154.46,108
102,2,K2 Skis,buty,67.05,202
103,3,Fischer,deska,157.3,143
104,2,Blizzard,kijki,14.36,119
105,2,Atomic,kijki,7.28,115
106,2,Atomic,kask,44.92,57
107,2,Nordica,buty,62.96,214
108,2,Fischer,kask,53.54,63
109,1,Rossignol,narty,60.58,119
110,3,Head,kijki,7.71,140
111,3,Völkl,deska,152.25,119
112,2,Blizzard,narty,81.23,161
113,1,Fischer,narty,161.4,131
114,3,Salomon,buty,57.44,319
115,1,Völkl,deska,136.65,157
116,2,Völkl,buty,74.96,320
117,3,Elan,deska,133.92,101
118,3,Blizzard,deska,168.37,148
119,3,Rossignol,narty,155.89,161
120,2,Fischer,buty,82.54,236
121,2,Elan,deska,109.7,92
122,3,Salomon,narty,104.11,90
123,1,Salomon,buty,51.38,193
124,3,Nordica,deska,55.44,139
125,3,Elan,narty,135.9,105
126,3,K2 Skis,narty,105.87,106
127,3,K2 Skis,deska,128.06,102
128,1,Völkl,narty,115.59,152
129,2,Fischer,buty,65.03,324
130,3,Elan,narty,159.92,99
131,1,Nordica,narty,53.0,109
132,3,Rossignol,narty,103.08,149
133,2,Nordica,kijki,14.19,93
134,3,Elan,deska,76.58,192
135,2,Völkl,kijki,14.84,95
136,1,Salomon,buty,93.18,264
137,2,Fischer,narty,177.32,137
138,1,Head,kask,65.1,51
139,2,Elan,kask,43.18,52
140,2,Atomic,kijki,12.61,152
141,3,K2 Skis,buty,78.78,256
142,2,Fischer,kijki,11.09,132
143,1,Atomic,buty,72.08,274
144,1,Salomon,deska,149.89,124
145,3,Blizzard,kijki,14.62,90
146,1,Elan,deska,177.5,186
147,1,Völkl,kijki,6.47,112
148,3,K2 Skis,buty,98.93,231
149,2,K2 Skis,kijki,8.77,99
150,1,Völkl,kijki,14.63,137
151,1,K2 Skis,kijki,14.21,104
152,2,Salomon,kijki,7.97,155
153,2,Nordica,kijki,11.58,139
154,2,Salomon,kask,56.0,54
155,3,Völkl,buty,88.66,272
156,1,Rossignol,buty,55.02,239
157,2,Völkl,kask,65.2,48
158,1,Völkl,narty,143.26,155
159,2,Elan,deska,158.18,123
160,1,Elan,kijki,5.48,122
161,2,K2 Skis,deska,72.2,138
162,1,K2 Skis,deska,67.95,149
163,1,Atomic,narty,182.77,118
164,2,Fischer,deska,156.57,166
165,1,Head,buty,67.03,295
166,3,K2 Skis,kijki,12.68,135
167,3,Völkl,kijki,11.7,117
168,2,Nordica,narty,150.16,175
169,3,Völkl,kijki,12.68,125
170,2,Elan,kask,49.27,63
171,2,Elan,kijki,7.56,146
172,2,Elan,kask,66.54,59
173,1,Atomic,buty,82.28,296
174,1,Salomon,deska,176.58,144
175,2,Rossignol,narty,133.99,138
176,3,Elan,narty,83.04,132
177,2,Head,deska,195.48,161
178,1,Head,narty,75.13,116
179,1,Salomon,narty,52.09,154
180,2,Rossignol,buty,65.47,281
181,1,Fischer,kask,31.77,48
182,1,Fischer,narty,106.83,174
183,1,Atomic,narty,173.28,131
184,3,Nordica,kijki,9.2,156
185,1,Nordica,kask,38.6,55
186,2,Atomic,kijki,6.28,138
187,3,Elan,kask,61.96,56
